X_1,Y_1,X_2,Y_2,U1,D1,L1,R1,S1,U2,D2,L2,R2,S2
0,0,0,0,0.0,0.37,0.0,0.4222222222222222,0.20777777777777778,0.0,0.2811111111111111,0.0,0.23833333333333334,0.48055555555555557
1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,1,0,0,0.06777777777777778,0.0,0.09388888888888888,0.0,0.8383333333333334,0.0,0.19111111111111112,0.0,0.11555555555555555,0.6933333333333334
2,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.7038888888888889,0.0,0.2961111111111111,0.0
0,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.6338888888888888,0.0,0.3661111111111111,0.0
2,2,0,0,0.07222222222222222,0.0,0.9277777777777778,0.0,0.0,0.0,0.5722222222222222,0.0,0.42777777777777776,0.0
0,0,1,0,0.0,0.023333333333333334,0.0,0.9766666666666667,0.0,0.0,1.0,0.0,0.0,0.0
1,0,1,0,0.0,0.7483333333333333,0.04722222222222222,0.044444444444444446,0.16,0.0,0.0044444444444444444,0.4111111111111111,0.39666666666666667,0.18777777777777777
2,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,0,0.105,0.0,0.0,0.0,0.895,0.0,5.555555555555556E-4,0.8316666666666667,0.02277777777777778,0.145
2,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,1,0,0.3111111111111111,0.0,0.6888888888888889,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,2,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0,2,0,0.0,0.9961111111111111,0.0,0.0,0.0038888888888888888,0.0,0.9805555555555555,0.019444444444444445,0.0,0.0
2,0,2,0,0.0,0.37722222222222224,0.4161111111111111,0.0,0.20666666666666667,0.0,0.2561111111111111,0.24888888888888888,0.0,0.495
0,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.3416666666666667,0.6583333333333333,0.0,0.0
1,1,2,0,0.11944444444444445,0.0,0.0,0.09333333333333334,0.7872222222222223,0.0,0.14833333333333334,0.16944444444444445,0.0,0.6822222222222222
2,1,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.35055555555555556,0.6494444444444445,0.0,0.0
1,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,0.6583333333333333,0.0,0.0
2,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,1,0.03833333333333333,0.041666666666666664,0.0,0.82,0.1,0.35833333333333334,0.45222222222222225,0.0,0.0044444444444444444,0.185
1,1,0,1,0.0,0.0,0.09111111111111111,0.0,0.9088888888888889,0.2872222222222222,0.57,0.0,5.555555555555556E-4,0.14222222222222222
2,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,0,1,0.31,0.0,0.69,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,1,0.0,0.5611111111111111,0.0,0.4388888888888889,0.0,0.0,0.0,0.0,0.0,1.0
1,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.10055555555555555,0.61,0.28944444444444445,0.0
2,0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,1,1,0.0,0.0,0.0,0.9955555555555555,0.0044444444444444444,0.33944444444444444,0.25222222222222224,0.14888888888888888,0.2594444444444444,0.0
1,1,1,1,0.16111111111111112,0.2061111111111111,0.14944444444444444,0.17166666666666666,0.31166666666666665,0.22,0.25833333333333336,0.2361111111111111,0.2427777777777778,0.042777777777777776
2,1,1,1,0.0,0.0,1.0,0.0,0.0,0.15777777777777777,0.18611111111111112,0.61,0.04611111111111111,0.0
0,2,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,2,1,1,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.5894444444444444,0.31055555555555553,0.0
2,2,1,1,0.31055555555555553,0.0,0.6894444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,2,1,0.0,0.5461111111111111,0.0,0.4538888888888889,0.0,0.0,0.0,1.0,0.0,0.0
1,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,2,1,0.0,0.0,0.0,0.07777777777777778,0.9222222222222223,0.265,0.6155555555555555,0.0,0.0,0.11944444444444445
2,1,2,1,0.02,0.028333333333333332,0.85,0.0,0.10166666666666667,0.42833333333333334,0.465,0.0038888888888888888,0.0,0.10277777777777777
0,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,2,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,2,0.0,1.0,0.0,0.0,0.0,0.6272222222222222,0.0,0.0,0.37277777777777776,0.0
2,0,0,2,0.0,1.0,0.0,0.0,0.0,0.6088888888888889,0.0,0.0,0.39111111111111113,0.0
0,1,0,2,0.0,0.0,0.0,0.9944444444444445,0.005555555555555556,0.021111111111111112,0.0,0.0,0.9788888888888889,0.0
1,1,0,2,0.0,0.06888888888888889,0.14555555555555555,0.0,0.7855555555555556,0.16666666666666666,0.0,0.0,0.13777777777777778,0.6955555555555556
2,1,0,2,0.0,0.0,1.0,0.0,0.0,0.6288888888888889,0.0,0.0,0.3711111111111111,0.0
0,2,0,2,0.4166666666666667,0.0,0.0,0.36833333333333335,0.215,0.2594444444444444,0.0,0.0,0.24388888888888888,0.49666666666666665
1,2,0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2,0,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,1,2,0.0,0.5883333333333334,0.0,0.4116666666666667,0.0,1.0,0.0,0.0,0.0,0.0
1,0,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,1,1,2,0.0,0.07722222222222222,0.0,0.0,0.9227777777777778,0.0,0.0,0.5505555555555556,0.32722222222222225,0.12222222222222222
2,1,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2,1,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,1,2,0.745,0.0,0.04777777777777778,0.04111111111111111,0.1661111111111111,0.0033333333333333335,0.0,0.4088888888888889,0.4061111111111111,0.18166666666666667
2,2,1,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,2,2,0.0,0.7838888888888889,0.0,0.21611111111111111,0.0,0.28944444444444445,0.0,0.7105555555555556,0.0,0.0
1,0,2,2,0.0,1.0,0.0,0.0,0.0,0.28944444444444445,0.0,0.7105555555555556,0.0,0.0
2,0,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,2,2,0.0,0.0,0.0,1.0,0.0,0.28944444444444445,0.0,0.7105555555555556,0.0,0.0
1,1,2,2,0.0,0.058333333333333334,0.0,0.11777777777777777,0.8238888888888889,0.1438888888888889,0.0,0.13833333333333334,0.0,0.7177777777777777
2,1,2,2,0.0,0.0,1.0,0.0,0.0,0.08277777777777778,0.0,0.9172222222222223,0.0,0.0
0,2,2,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2,2,2,0.99,0.0,0.0,0.0,0.01,0.9322222222222222,0.0,0.06777777777777778,0.0,0.0
2,2,2,2,0.3761111111111111,0.0,0.39222222222222225,0.0,0.23166666666666666,0.25333333333333335,0.0,0.24722222222222223,0.0,0.49944444444444447
